<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
LKOH;0;20260414;065932;5450;1
LKOH;0;20260414;065932;5450;1
LKOH;0;20260414;065932;5450;3
LKOH;0;20260414;065932;5450;3
LKOH;0;20260414;065932;5450;2
LKOH;0;20260414;065932;5450;6
LKOH;0;20260414;065932;5450;2
LKOH;0;20260414;065932;5450;3
LKOH;0;20260414;065932;5450;39
LKOH;0;20260414;065932;5450;11
LKOH;0;20260414;065932;5450;3
LKOH;0;20260414;065932;5450;1
LKOH;0;20260414;065932;5450;3
LKOH;0;20260414;065932;5450;900
LKOH;0;20260414;065932;5450;82
LKOH;0;20260414;065932;5450;18
LKOH;0;20260414;065932;5450;3
LKOH;0;20260414;065932;5450;5
LKOH;0;20260414;065932;5450;3
LKOH;0;20260414;065932;5450;14
LKOH;0;20260414;065932;5450;2
LKOH;0;20260414;065932;5450;30
LKOH;0;20260414;065932;5450;11
LKOH;0;20260414;065932;5450;10
LKOH;0;20260414;065932;5450;1
LKOH;0;20260414;065932;5450;1
LKOH;0;20260414;070000;5448;1
LKOH;0;20260414;070000;5448;1
LKOH;0;20260414;070000;5451;1
LKOH;0;20260414;070000;5451;1
LKOH;0;20260414;070000;5451;1
LKOH;0;20260414;070000;5448;1
LKOH;0;20260414;070000;5447;1
LKOH;0;20260414;070000;5451;1
LKOH;0;20260414;070000;5451;2
LKOH;0;20260414;070000;5450.5;37
LKOH;0;20260414;070000;5451;194
LKOH;0;20260414;070000;5451.5;39
LKOH;0;20260414;070000;5452.5;10
LKOH;0;20260414;070000;5452.5;2
LKOH;0;20260414;070000;5455;6
LKOH;0;20260414;070000;5455;10
LKOH;0;20260414;070000;5455;102
LKOH;0;20260414;070000;5455;10
LKOH;0;20260414;070000;5450.5;1
LKOH;0;20260414;070000;5450.5;1
LKOH;0;20260414;070000;5451;2
LKOH;0;20260414;070000;5451;3
LKOH;0;20260414;070000;5451;1
LKOH;0;20260414;070000;5448.5;5
LKOH;0;20260414;070000;5448.5;5
LKOH;0;20260414;070000;5447;1
LKOH;0;20260414;070000;5448.5;3
LKOH;0;20260414;070000;5450;5
LKOH;0;20260414;070000;5451;1
LKOH;0;20260414;070000;5452.5;2
LKOH;0;20260414;070000;5452.5;5
LKOH;0;20260414;070000;5452.5;7
LKOH;0;20260414;070000;5447;1
LKOH;0;20260414;070000;5449;1
LKOH;0;20260414;070000;5447;1
LKOH;0;20260414;070001;5447;1
LKOH;0;20260414;070001;5446.5;9
LKOH;0;20260414;070001;5449;1
LKOH;0;20260414;070001;5451;1
LKOH;0;20260414;070001;5454.5;1
LKOH;0;20260414;070001;5454.5;2
LKOH;0;20260414;070002;5452;1
LKOH;0;20260414;070002;5452;1
LKOH;0;20260414;070002;5452.5;28
LKOH;0;20260414;070009;5453.5;1
LKOH;0;20260414;070009;5453.5;1
LKOH;0;20260414;070012;5448.5;2
LKOH;0;20260414;070012;5448;1
LKOH;0;20260414;070012;5448;4
LKOH;0;20260414;070012;5449;2
LKOH;0;20260414;070012;5447.5;1
