<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;5;20260105;070000;299.99;300.12;298.96;299.08;361588
SBER;5;20260105;070500;299.06;299.26;298.87;298.98;65932
SBER;5;20260105;071000;298.98;299.22;298.77;299.21;144947
SBER;5;20260105;071500;299.21;299.34;299.04;299.22;41494
SBER;5;20260105;072000;299.22;299.24;298.93;298.96;26382
SBER;5;20260105;072500;298.96;299.28;298.93;299.21;65282
SBER;5;20260105;073000;299.19;299.21;298.99;299.04;26491
SBER;5;20260105;073500;299.04;299.15;298.65;299.11;99429
SBER;5;20260105;074000;299.08;299.11;298.75;298.86;57970
SBER;5;20260105;074500;298.85;299;298.63;299;61962
SBER;5;20260105;075000;299;299.09;298.79;298.79;52114
SBER;5;20260105;075500;298.79;298.8;298.51;298.65;90339
SBER;5;20260105;080000;298.65;298.73;298.56;298.72;35696
SBER;5;20260105;080500;298.69;298.79;298.67;298.79;40739
SBER;5;20260105;081000;298.79;298.9;298.73;298.89;41737
SBER;5;20260105;081500;298.89;299;298.86;298.98;25904
SBER;5;20260105;082000;298.98;299.03;298.92;298.94;25778
SBER;5;20260105;082500;298.94;299.18;298.94;299.18;27083
SBER;5;20260105;083000;299.18;299.18;298.57;298.7;192938
SBER;5;20260105;083500;298.76;299.01;298.7;298.94;41445
SBER;5;20260105;084000;298.94;298.94;298.76;298.9;35742
SBER;5;20260105;084500;298.9;299.09;298.88;299.05;33013
SBER;5;20260105;085000;299.05;299.12;298.81;299;26537
SBER;5;20260105;085500;298.99;299.02;298.89;298.99;19471
SBER;5;20260105;090000;298.98;299;298.1;298.11;512343
SBER;5;20260105;090500;298.12;298.13;297.57;297.8;501266
SBER;5;20260105;091000;297.8;297.88;297.75;297.88;110959
SBER;5;20260105;091500;297.87;298.02;297.78;297.78;114621
SBER;5;20260105;092000;297.8;297.83;297.6;297.68;134887
SBER;5;20260105;092500;297.68;297.72;297.28;297.41;364423
SBER;5;20260105;093000;297.4;297.46;297.21;297.4;215368
