<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
SBER;0;20260413;065958;317.7;10
SBER;0;20260413;065958;317.7;1
SBER;0;20260413;065958;317.7;3
SBER;0;20260413;065958;317.7;2
SBER;0;20260413;065958;317.7;1
SBER;0;20260413;065958;317.7;2
SBER;0;20260413;065958;317.7;1
SBER;0;20260413;065958;317.7;2
SBER;0;20260413;065958;317.7;2
SBER;0;20260413;065958;317.7;1
SBER;0;20260413;065958;317.7;1
SBER;0;20260413;065958;317.7;10
SBER;0;20260413;065958;317.7;1
SBER;0;20260413;065958;317.7;6
SBER;0;20260413;065958;317.7;1
SBER;0;20260413;065958;317.7;1
SBER;0;20260413;065958;317.7;78
SBER;0;20260413;065958;317.7;1
SBER;0;20260413;065958;317.7;1
SBER;0;20260413;065958;317.7;4
SBER;0;20260413;065958;317.7;75
SBER;0;20260413;065958;317.7;3
SBER;0;20260413;065958;317.7;1
SBER;0;20260413;065958;317.7;1
SBER;0;20260413;065958;317.7;21
SBER;0;20260413;065958;317.7;1
SBER;0;20260413;065958;317.7;2
SBER;0;20260413;065958;317.7;1
SBER;0;20260413;065958;317.7;803
SBER;0;20260413;065958;317.7;10
SBER;0;20260413;065958;317.7;1
SBER;0;20260413;065958;317.7;1
SBER;0;20260413;065958;317.7;15
SBER;0;20260413;065958;317.7;48
SBER;0;20260413;065958;317.7;100
SBER;0;20260413;065958;317.7;100
SBER;0;20260413;065958;317.7;100
SBER;0;20260413;065958;317.7;6
SBER;0;20260413;065958;317.7;816
SBER;0;20260413;065958;317.7;1
SBER;0;20260413;065958;317.7;2
SBER;0;20260413;065958;317.7;10
SBER;0;20260413;065958;317.7;5
SBER;0;20260413;065958;317.7;22
SBER;0;20260413;065958;317.7;1
SBER;0;20260413;065958;317.7;25
SBER;0;20260413;065958;317.7;5
SBER;0;20260413;065958;317.7;1
SBER;0;20260413;065958;317.7;4
SBER;0;20260413;065958;317.7;4
SBER;0;20260413;065958;317.7;1
SBER;0;20260413;065958;317.7;4
SBER;0;20260413;065958;317.7;62
SBER;0;20260413;065958;317.7;12
SBER;0;20260413;065958;317.7;2
