<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
LKOH;0;20260414;65932;5450.0;1
LKOH;0;20260414;65932;5450.0;1
LKOH;0;20260414;65932;5450.0;3
LKOH;0;20260414;65932;5450.0;3
LKOH;0;20260414;65932;5450.0;2
LKOH;0;20260414;65932;5450.0;6
LKOH;0;20260414;65932;5450.0;2
LKOH;0;20260414;65932;5450.0;3
LKOH;0;20260414;65932;5450.0;39
LKOH;0;20260414;65932;5450.0;11
LKOH;0;20260414;65932;5450.0;3
LKOH;0;20260414;65932;5450.0;1
LKOH;0;20260414;65932;5450.0;3
LKOH;0;20260414;65932;5450.0;900
LKOH;0;20260414;65932;5450.0;82
LKOH;0;20260414;65932;5450.0;18
LKOH;0;20260414;65932;5450.0;3
LKOH;0;20260414;65932;5450.0;5
LKOH;0;20260414;65932;5450.0;3
LKOH;0;20260414;65932;5450.0;14
LKOH;0;20260414;65932;5450.0;2
LKOH;0;20260414;65932;5450.0;30
LKOH;0;20260414;65932;5450.0;11
LKOH;0;20260414;65932;5450.0;10
LKOH;0;20260414;65932;5450.0;1
LKOH;0;20260414;65932;5450.0;1
LKOH;0;20260414;70000;5448.0;1
LKOH;0;20260414;70000;5448.0;1
LKOH;0;20260414;70000;5451.0;1
LKOH;0;20260414;70000;5451.0;1
LKOH;0;20260414;70000;5451.0;1
LKOH;0;20260414;70000;5448.0;1
LKOH;0;20260414;70000;5447.0;1
LKOH;0;20260414;70000;5451.0;1
LKOH;0;20260414;70000;5451.0;2
LKOH;0;20260414;70000;5450.5;37
LKOH;0;20260414;70000;5451.0;194
LKOH;0;20260414;70000;5451.5;39
LKOH;0;20260414;70000;5452.5;10
LKOH;0;20260414;70000;5452.5;2
LKOH;0;20260414;70000;5455.0;6
LKOH;0;20260414;70000;5455.0;10
LKOH;0;20260414;70000;5455.0;102
LKOH;0;20260414;70000;5455.0;10
LKOH;0;20260414;70000;5450.5;1
LKOH;0;20260414;70000;5450.5;1
LKOH;0;20260414;70000;5451.0;2
LKOH;0;20260414;70000;5451.0;3
LKOH;0;20260414;70000;5451.0;1
LKOH;0;20260414;70000;5448.5;5
LKOH;0;20260414;70000;5448.5;5
LKOH;0;20260414;70000;5447.0;1
LKOH;0;20260414;70000;5448.5;3
LKOH;0;20260414;70000;5450.0;5
LKOH;0;20260414;70000;5451.0;1
LKOH;0;20260414;70000;5452.5;2
LKOH;0;20260414;70000;5452.5;5
LKOH;0;20260414;70000;5452.5;7
LKOH;0;20260414;70000;5447.0;1
LKOH;0;20260414;70000;5449.0;1
LKOH;0;20260414;70000;5447.0;1
LKOH;0;20260414;70001;5447.0;1
LKOH;0;20260414;70001;5446.5;9
LKOH;0;20260414;70001;5449.0;1
LKOH;0;20260414;70001;5451.0;1
LKOH;0;20260414;70001;5454.5;1
LKOH;0;20260414;70001;5454.5;2
LKOH;0;20260414;70002;5452.0;1
LKOH;0;20260414;70002;5452.0;1
LKOH;0;20260414;70002;5452.5;28
LKOH;0;20260414;70009;5453.5;1
LKOH;0;20260414;70009;5453.5;1
LKOH;0;20260414;70012;5448.5;2
LKOH;0;20260414;70012;5448.0;1
LKOH;0;20260414;70012;5448.0;4
LKOH;0;20260414;70012;5449.0;2
LKOH;0;20260414;70012;5447.5;1
LKOH;0;20260414;70013;5449.5;2
LKOH;0;20260414;70014;5447.5;2
LKOH;0;20260414;70014;5447.0;1
LKOH;0;20260414;70014;5446.5;1
LKOH;0;20260414;70014;5446.0;3
LKOH;0;20260414;70015;5445.0;3
LKOH;0;20260414;70015;5445.0;9
LKOH;0;20260414;70015;5445.0;1
LKOH;0;20260414;70021;5445.0;1
LKOH;0;20260414;70021;5445.0;9
LKOH;0;20260414;70025;5445.0;1
LKOH;0;20260414;70025;5445.0;1
LKOH;0;20260414;70025;5444.0;3
LKOH;0;20260414;70025;5444.0;50
LKOH;0;20260414;70025;5444.0;1
LKOH;0;20260414;70025;5444.0;70
LKOH;0;20260414;70025;5443.5;200
LKOH;0;20260414;70025;5443.5;3
LKOH;0;20260414;70025;5443.0;3
LKOH;0;20260414;70025;5443.0;3
LKOH;0;20260414;70026;5442.5;1
LKOH;0;20260414;70026;5442.5;1
LKOH;0;20260414;70028;5442.0;3
LKOH;0;20260414;70028;5441.5;1
LKOH;0;20260414;70030;5442.5;2
LKOH;0;20260414;70030;5443.0;1
LKOH;0;20260414;70030;5443.5;5
LKOH;0;20260414;70030;5443.5;15
LKOH;0;20260414;70030;5443.5;9
LKOH;0;20260414;70030;5443.5;5
LKOH;0;20260414;70030;5443.5;9
LKOH;0;20260414;70030;5443.5;6
LKOH;0;20260414;70030;5443.5;7
LKOH;0;20260414;70031;5443.5;1
LKOH;0;20260414;70035;5443.5;500
LKOH;0;20260414;70035;5443.5;14
LKOH;0;20260414;70042;5444.0;1
LKOH;0;20260414;70044;5443.5;14
LKOH;0;20260414;70044;5443.0;3
LKOH;0;20260414;70045;5443.0;17
LKOH;0;20260414;70045;5442.5;25
LKOH;0;20260414;70045;5442.5;9
LKOH;0;20260414;70045;5442.5;7
LKOH;0;20260414;70045;5441.5;74
LKOH;0;20260414;70045;5441.0;30
LKOH;0;20260414;70045;5441.0;3
LKOH;0;20260414;70045;5440.5;20
LKOH;0;20260414;70045;5440.5;4
LKOH;0;20260414;70045;5440.5;20
LKOH;0;20260414;70045;5440.5;27
LKOH;0;20260414;70045;5440.5;1
LKOH;0;20260414;70045;5440.5;10
LKOH;0;20260414;70045;5440.0;1
LKOH;0;20260414;70045;5440.0;3
LKOH;0;20260414;70045;5440.0;19
LKOH;0;20260414;70045;5440.0;31
LKOH;0;20260414;70045;5439.0;3
LKOH;0;20260414;70045;5439.0;8
LKOH;0;20260414;70045;5439.0;8
